Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Award Total,Date Awarded,Province / State,Country
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",EN20DTR002 - Road Maintenance and Deactivation - Kamloops,EN20DTR002,ITT,2019/03/26,2,2019/04/17,Arnica Contracting Inc.,Merritt,"$91,600.00",2019/04/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Engineering Project Monitoring – Kamloops,EN20DTR006,ITT,2019/03/26,1,2019/04/17,Frontline Management Services Ltd.,Vancouver,"$16,300.00",2019/05/09,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,  Supply Airlink Management Systems (ALMS) Services for One Year,ITQ-005857,Itq,2019/03/26,0,2019/04/03,Ralph's Radio Ltd.,Vancouver,"$13,261.61",2019/04/05,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Pest Incidence-Young Pine:retrospective analysis of young stands,FH20944-005,ITT,2019/03/26,0,2019/04/30,Rosanna Maria Wijenberg,Ymir,"$23,220.00",2019/04/30,British Columbia,Canada
Ministry of Agriculture,Ministry of Agriculture,Delta’s Future Agricultural Water Supply and Demand,10346,RFP,2019/03/27,0,2019/04/17,N/A,,$0.00,2019/08/23,,
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,Highway 7 Harrison Mills Asphalt Resurfacing,12757MJ2019,MOTITT,2019/03/27,1,2019/04/03,Okanagan Aggregates Ltd.,Armstrong,"$3,280,380.00",2019/04/05,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Selected Bridge Components (Prince George),ITQ-005845,Itq,2019/03/27,1,2019/03/29,Pioneer Precast Products,Chilliwack,"$233,311.68",2019/04/02,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Fintry Provincial Park - Asphalt Installation,2929536 - PAVING,ITT,2019/03/27,0,2019/04/17,Peter's Bros Construction Ltd,Penticton,"$245,121.00",2019/04/18,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Aerial Lift Trucks - MOTI,ITQ-005855,Itq,2019/03/27,2,2019/04/24,Metro Motors Ltd,Port Coquitlam,"$391,601.28",2019/05/08,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,IS19IIT069RFP Aquarius Support\Enhancement,IS19IIT069RFP,RFP,2019/03/27,1,2019/03/29,Research Triangle Institute,Research Triangle Park,"$75,000.00",2019/04/17,North Carolina,United States
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge Inspections - Selkirk Resource District,EN20474-003,ITT,2019/03/27,1,2019/05/08,Terraliving Consultants Inc,Vernon,"$52,322.00",2019/05/08,British Columbia,Canada
Ministry of Transportation and Infrastructure - Electrical Mntce,Ministry of Transportation and Infrastructure - Electrical Mntce,Fairness Advisory Services,EMSA-R3-FA1,SRFP,2019/03/27,0,2019/04/12,Owen D. Pawson Law Corporation,West Vancouver,"$200,000.00",2019/05/17,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Asphalt Road Resurfacing, Port Mellon Highway (9.1 Lane Km)",12881MJ2019,MOTITT,2019/03/28,0,2019/04/24,B.A. Blacktop Ltd.,North Vancouver,"$1,769,713.62",2019/04/30,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Asphalt Road Resurfacing, Port Mellon Highway (9.1 Lane Km)",12881MJ2019,MOTITT,2019/03/28,0,2019/04/24,B.A. Blacktop Ltd.,North Vancouver,"$1,769,713.62",2019/04/30,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,BCROS Snr_Developer 10324,10324,ITB,2019/03/28,1,2019/04/16,AppsOnTime Technologies Ltd.,Victoria,"$250,000.00",2019/05/31,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,BCROS Snr_Developer 10324,10324,ITB,2019/03/28,1,2019/04/16,Quartech Systems Inc.,Victoria,"$250,000.00",2019/05/31,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,BCROS Snr_Developer 10324,10324,ITB,2019/03/28,1,2019/04/16,Sierra Systems Group Inc.,Victoria,"$250,000.00",2019/05/31,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,BCROS Snr_Developer 10324,10324,ITB,2019/03/28,1,2019/04/16,Daxiom Systems Inc.,Victoria,"$250,000.00",2019/05/31,British Columbia,Canada
Ministry of Citizens' Services,Ministry of Citizens' Services,BCROS UX-UI Designer 10325,10325,ITB,2019/03/28,2,2019/04/16,Forge Experience Design Inc.,Victoria,"$238,000.00",2019/05/31,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Beetle Bait and Funnel Management Program - DRM,FH20DRM002,ITT,2019/03/28,0,2019/04/15,Maple Leaf Forestry Ltd,Victoria,"$34,430.00",2019/04/16,British Columbia,Canada
Ministry of Social Development and Poverty Reduction,Ministry of Social Development and Poverty Reduction,DOH2020 Health Benefits Claims Administration,10186,RFP,2019/03/29,5,2019/04/04,PBC Health Benefits Society DBA Pacific Blue Cross,Vancouver,"$25,000,000.00",2019/06/13,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Oracle Xpert Edition W/Quest DBA Admin Module License ,ITQ-005862,Itq,2019/03/29,0,2019/04/08,Softchoice LP,Vancouver,"$14,773.92",2019/04/10,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Nechako White Sturgeon Recovery Initiative Coordinator,CS20DPG503,ITT,2019/04/01,0,2019/04/15,Andrea Sterling of Sterling Applied Biology,Prince George,"$17,500.00",2019/04/29,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Marth Creek Toilet/Shower Building Septic System Improvements,ENV20-BCP-001,ITT,2019/04/01,3,2019/04/03,Absolute Industries Inc.,Revelstoke,"$96,750.00",2019/04/14,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",AMAT - Management Plan Development and Implementation,1070-30/PD20FHQ001,RFP,2019/04/01,4,2019/04/05,R. White Woods Inc.,Saanichton,"$263,000.00",2019/04/18,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,VectorWorks Architect Renewals and New Licenses (Victoria),ITQ-005861,Itq,2019/04/01,0,2019/04/09,Vectorworks Canada Inc,Vancouver,"$23,273.60",2019/04/10,British Columbia,Canada
Procurement Services Branch,Ministry of Environment and Climate Change Strategy,REQUEST FOR STANDING OFFER - VARIOUS COMPRESSED GASES (Victoria),ITQ-005863,Itq,2019/04/01,0,2019/04/10,Air Liquide Canada Inc,Victoria,$0.00,2019/04/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Road Maintenance and Deactivation - Clearwater,EN20DTR004,ITT,2019/04/02,0,2019/04/30,Borrow Enterprises Ltd.,Victoria,"$109,750.00",2019/05/01,British Columbia,Canada
Procurement Services Branch,Ministry of Citizens' Services,Adobe Experience Manager Forms 6.3 On Premise Term (Victoria),ITQ-005865,Itq,2019/04/04,0,2019/04/12,CDW Canada Inc,Etobicoke,"$233,579.51",2019/04/16,Ontario,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Re-assessment of Western Balsam Bark Beetle perm sample plots,FH20944-004,ITT,2019/04/04,1,2019/04/30,Rosanna Maria Wijenberg,Ymir,"$13,195.00",2019/04/30,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Vancouver Island Young Stand Monitoring (YSM) Ground Sampling,1070-30/OT20FHQ028,ITT,2019/04/05,0,2019/05/02,Hatch Woodlands Ltd.,Shawnigan Lake,"$262,500.00",2019/05/07,British Columbia,Canada
Procurement Services Branch,Ministry of Public Safety and Solicitor General,Refrigerated Portable body storage unit (Abbotsford),ITQ-005866,Itq,2019/04/08,0,2019/04/16,Roftek Ltd,Gloucester,"$34,000.00",2019/05/01,,England
Procurement Services Branch,Ministry of Citizens' Services,Quest Maintenance Renewals – Various Titles (Victoria),ITQ-005869,Itq,2019/04/08,0,2019/04/16,Softchoice LP,Vancouver,"$205,704.71",2019/04/23,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Mackenzie Central CMI-YSM Sampling,1070-30/OT20FHQ019,ITT,2019/04/09,1,2019/04/16,McColl Forestry Ltd.,Clinton,"$202,664.80",2019/05/07,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Nechako River White Sturgeon Spawning Substrate Assessment,CS20DPG502,RFP,2019/04/09,1,2019/04/24,Northwest Hydraulic Consultants Ltd.,North Vancouver,"$38,820.00",2019/05/07,British Columbia,Canada
Ministry of Public Safety and Solicitor General,Ministry of Public Safety and Solicitor General,Answering & Dispatch Service for BC Coroners Service,BCCS20RFP724A,RFP,2019/04/09,1,2019/05/10,Four Star Communications Inc.,Prince George,"$250,000.00",2019/06/10,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,Kikomun Creek Park Trail Upgrade,ENV20-BCP-008,ITT,2019/04/09,3,2019/04/15,D.I.G. Trail Design Ltd,Rossland,"$105,880.00",2019/04/24,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Bridge Installation - K405A Bear Forest Service Road,EN20474-009,ITT,2019/04/09,3,2019/04/16,Heavy Metal Marine Ltd.,Shawnigan Lake,"$201,582.00",2019/04/16,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Interior Wet Belt GIS & Economic Analysis of the CBF Project,1070-30/CS20FHQ034SF,SRFP,2019/04/09,0,2019/04/30,Strategic Natural Resource Consulting Ltd.,Victoria,"$49,300.00",2019/05/14,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - Skeena Stikine,EN20PGN305,ITT,2019/04/10,0,2019/05/15,N/A,,$0.00,2019/05/23,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - Skeena Stikine,EN20PGN305,ITT,2019/04/10,0,2019/05/15,N/A,,$0.00,2019/05/23,,
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Aerial Spraying of Defoliators in the Southern Interior of B.C. ,FH20WLN004,ITT,2019/04/10,0,2019/04/26,Western Aerial Applications Ltd.,Chilliwack,"$176,800.00",2019/04/26,British Columbia,Canada
Procurement Services Branch,"Ministry of Forests, Lands, Natural Resource Operations and R.D.",Two Accommodation Trailers (Prince George),ITQ-005851,Itq,2019/04/10,2,2019/04/10,West Coast Highland Building Solutions Inc.,Chilliwack,"$477,603.88",2019/04/24,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Cone Picking Lodgepole Pine Orchards,1070-30/CC20FHQ024,ITT,2019/04/10,0,2019/06/17,1st Action Contracting Ltd.,Creston,"$149,000.00",2019/08/10,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Stem Mapping Lodgepole Pine following Dwarf Mistletoe Sanitation,FH20WLN006,ITT,2019/04/10,0,2019/04/25,Trevor Blenner-Hasset dba Forestec Forestry Consulting,Kamloops,"$22,100.04",2019/04/26,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply and Haul 75mm SGSB Road Gravel (Surrey),ITQ-005870,Itq,2019/04/10,1,2019/04/17,H.K.S. Management (2013) Ltd.,Langley,"$502,530.00",2019/05/03,British Columbia,Canada
Procurement Services Branch,Ministry of Transportation and Infrastructure,Supply and Haul 75mm SGSB Road Gravel (Surrey),ITQ-005870,Itq,2019/04/10,1,2019/04/17,H.K.S. Management Inc.,Langley,"$502,530.00",2019/04/24,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Western Painted Turtle Population Monitoring and Habitat Restora,GS20LMN0007,RFP,2019/04/10,0,2019/04/17,Deanna MacTavish,New Westminster,"$10,000.00",2019/04/18,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Grading & Snow Plowing the Moldowan and Willow FSR's in PG,EN20DPG500,ITT,2019/04/10,0,2019/05/02,Capco Construction Services Ltd.,Prince George,"$149,900.00",2019/05/15,British Columbia,Canada
Ministry of Transportation and Infrastructure - Construction,Ministry of Transportation and Infrastructure - Construction,"Hwy 31A, Whitewater Bridge and Lyle Creek Bridge and Approaches",23754MJ0000,MOTITT,2019/04/10,1,2019/04/16,Heavy Metal Marine Ltd.,Shawnigan Lake,"$4,448,140.00",2019/04/25,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Routine Bridge & Major Culvert Inspections - Nadina,EN20PGN302,ITT,2019/04/10,0,2019/05/08,Frontline Mangement Services Ltd.,Vancouver,"$15,350.00",2019/05/16,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,R F Binnie & Associates Ltd.,Burnaby,"$300,000.00",2019/07/17,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,0745245 B.C. Ltd.,Cranbrook,"$300,000.00",2019/07/17,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,Izett Engineering Ltd.,Delta,"$300,000.00",2019/07/18,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,RWM Engineering Ltd,Duncan,"$300,000.00",2019/07/17,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,T J Cooper Management Consultants ltd.,Saanichton,"$300,000.00",2019/07/18,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,Firth Group Consulting Services Inc.,Vancouver,"$300,000.00",2019/07/18,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,Promana Project Strategies Inc.,Victoria,"$300,000.00",2019/07/18,British Columbia,Canada
Ministry of Transportation and Infrastructure,Ministry of Transportation and Infrastructure,Capital Project Advisor Services,070CS111717,RFP,2019/04/11,0,2019/05/07,Cumberland Capital Projects Ltd.,Victoria,"$300,000.00",2019/07/17,British Columbia,Canada
Ministry of Environment and Climate Change Strategy,Ministry of Environment and Climate Change Strategy,NOI to Direct Award - NABat Probiotic Research in WSN,NOIECO20-003,DirectAward,2019/04/11,0,2019/04/22,wildlife conservation society of Canada,Victoria,"$60,000.00",2019/04/29,British Columbia,Canada
"Ministry of Forests, Lands, Natural Resource Operations and R.D.","Ministry of Forests, Lands, Natural Resource Operations and R.D.",Excavator & Lowbed for Wildfire Suppression Rehab - Quesnel,EQ20RDQ003,ITT,2019/04/12,1,2019/04/23,High Level Harvesting Ltd.,100 Mile House,"$71,050.00",2019/05/24,British Columbia,Canada
