Issued by Organization,Issued for Organization,Title,Tender No,Procurement Method,Issued Date,Amendments,Closing Date,Successful Vendor,Successful Vendor City,Province,Country,Award Total,Date Awarded,
City of Kamloops,City of Kamloops,RFP Watermain Hot Tapping Services,344842,NRFP,2022/05/20,0,2022/06/10,Pacific Flow Control Ltd.,Kelowna,British Columbia,,$0.00,2022/08/12,
Ministry of Forests,Ministry of Forests,Preparation of a Wildfire Risk Reduction Tactical Plan,CS23DSN036,ITT,2022/07/29,0,2022/08/12,Frontera Forest Solutions Inc.,North Vancouver,British Columbia,Canada,"$57,165.00",2022/08/12,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,EN23TFH007-Upper & Lower Sullivan Hill FSR Contraction-EK,EN23TFH007,ITT,2022/07/19,0,2022/08/04,Fiorentino Brothers Contracting Ltd.,Cranbrook,British Columbia,Canada,"$254,853.29",2022/08/12,
Ministry of Forests,Ministry of Forests,Helena Lake Landscape Fuel Break Layout & Fuel Mgmt Prescription,LD23DMH042,ITT,2022/06/17,0,2022/07/21,N/A,,,,$0.00,2022/08/12,
Ministry of Forests,Ministry of Forests,Helena Lake Landscape Fuel Break Layout & Fuel Mgmt Prescription,LD23DMH042,ITT,2022/06/17,0,2022/07/21,N/A,,,,$0.00,2022/08/12,
BC Housing Management Commission,BC Housing Management Commission,"Abatement and Demolition Services, Nanaimo BC",1070-2122-195,RFP,2022/05/13,6,2022/05/16,BROD Demolition Ltd,Nanaimo,British Columbia,,"$748,613.00",2022/08/11,
Ministry of Forests,Ministry of Forests,Moldowan FSR Road Upgrade 0-17km,13480,ITT,2022/07/14,2,2022/07/27,Capco Construction Ltd.,Prince George,British Columbia,Canada,"$291,430.00",2022/08/11,
Ministry of Public Safety & Solicitor General & Emergency B.C.,,,Duncan2022-IJP,SRFP,,0,,Hiiye yu Lelum House of Friendship,Duncan,British Columbia,,"$21,606.00",2022/08/11,
Ministry of Public Safety & Solicitor General & Emergency B.C.,,,GVic2022-IJP,SRFP,,0,,N/A,,,,$0.00,2022/08/11,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,"Fall 2022 and Spring 2023 Tree Planting, Campbell River",PL23TCG023,ITT,2022/07/25,1,2022/08/08,ZANZIBAR HOLDINGS LTD.,North Vancouver,British Columbia,Canada,"$479,564.60",2022/08/11,
BC Timber Sales - Contracts,,,BR23TBS001,ITT,,0,,4C Forestry Ltd.,Victoria,British Columbia,,"$244,548.50",2022/08/10,
Ministry of Forests,Ministry of Forests,Routine Bridge and Major Culvert Inspections – Rail Trails ,EN23474030,ITT,2022/07/08,1,2022/08/03,SNT Engineering Ltd.,Nelson,British Columbia,Canada,"$21,280.00",2022/08/10,
BC Timber Sales - Contracts,BC Timber Sales - Contracts,Watershed Hydrological Assessment – Various Locations - CCBA,PD23TLA013,ITT,2022/07/20,0,2022/08/10,N/A,,,,$0.00,2022/08/10,
